portfolio,beta_ai,beta_rest,alpha,r_squared,n_obs,proj_no_bubble_pct,proj_2022_style_pct,proj_2008_style_pct,proj_dotcom_style_pct
SPY,0.5048,0.5172,0.00025331248520353247,0.9376,252,22.1,-26.4,-57.9,-57.0
VT,0.508,0.6198,0.00031519239584841996,0.8652,252,22.3,-28.2,-64.2,-60.7
QQQ,0.7586,0.4,0.0001615655438189893,0.7833,252,33.2,-33.2,-64.4,-72.7
RSP,0.2403,1.0,0.0004934536465948754,1.0,252,10.5,-25.4,-72.6,-52.8
60/40,0.3337,0.4043,0.00013078665755743922,0.8262,252,14.6,-18.5,-42.0,-39.8
TLT,0.0775,0.2359,-7.670798216379652e-05,0.0977,252,3.4,-6.7,-18.3,-14.1
